brand,region,sales
Lexus,India,848
Cadillac,Australia,562
Dodge,Srilanka,637
GMC,India,324
Toyota,Australia,546
Land Rover,Srilanka,875
Chevrolet,India,981
BMW,Australia,755
Chevrolet,Srilanka,897
Honda,India,556
GMC,Australia,768
Mitsubishi,Srilanka,637
Ford,India,995
BMW,Australia,662
Ford,Srilanka,792
Eagle,India,510
Dodge,Australia,803
Mercedes-Benz,Srilanka,704
Mercury,India,822
Chevrolet,Australia,681
Chevrolet,Srilanka,542
Mitsubishi,India,668
BMW,South Africa,995
Chevrolet,America,579
Honda,Ireland,601
Maserati,Poland,501
Chevrolet,South Africa,781
Toyota,America,908
Ford,Ireland,974
Cadillac,Poland,698
Mercedes-Benz,South Africa,892
BMW,America,795
Nissan,Ireland,855
Volvo,Poland,880
Mercedes-Benz,South Africa,569
Honda,America,580
GMC,Ireland,545
Volkswagen,Poland,765
Hyundai,South Africa,542
Kia,America,774
Ford,Ireland,751
Mitsubishi,Poland,891
Chevrolet,South Africa,780
Saturn,America,555
Ford,Ireland,614
Audi,Poland,893
Dodge,South Africa,861
Mitsubishi,America,993
Dodge,Ireland,923
Ford,Poland,512
Pontiac,South Africa,711
Dodge,America,579
Mercury,Ireland,912
Mazda,Poland,814
Volkswagen,South Africa,994
Ford,America,672
Mercedes-Benz,Ireland,721
GMC,Poland,847
Pontiac,South Africa,987
Nissan,America,640
Dodge,Ireland,639
Mercedes-Benz,Poland,683
Toyota,South Africa,865
Toyota,America,845
Dodge,Ireland,564
Nissan,Poland,745
Chevrolet,South Africa,738
Plymouth,America,687
Audi,Ireland,637
Chrysler,Poland,918
Cadillac,South Africa,707
Suzuki,America,511
Eagle,India,868
Toyota,Australia,903
Suzuki,Srilanka,719
Honda,India,970
Saturn,Australia,881
Porsche,Srilanka,876
Saturn,India,637
Volkswagen,Australia,985
Mercedes-Benz,Srilanka,594
Pontiac,India,832
Bentley,Australia,658
Subaru,Srilanka,653
Volkswagen,India,707
Honda,Australia,883
Ford,Srilanka,998
Mitsubishi,India,795
Toyota,Australia,890
GMC,Srilanka,675
Honda,India,924
Ford,Australia,862
Chrysler,Srilanka,798
Mitsubishi,India,655
Acura,South Africa,641
GMC,America,622
BMW,Ireland,877
Mercury,Poland,894
Subaru,South Africa,541
